A000009,A000040,A000045,A000124,A000219,A000292,A000720,A001045,A001097,A001481,A001615,A002572,A005230,A027642
,,"F(n + 4) = 3F(n + 2) - F(n), ",,,,," a(n) = floor(2^(n+1)/3) - floor(2^n/3) = A000975(n) - A000975(n-1),",,,,,,
,,i.e. F(n+4) = ( (F(n+2)*F(n+3)) + (-1)^n ) /F(n+1) ,,,,," a(n) = A000975(n-1) + (1 + (-1)^(n-1))/2,",,,,,,
,,F(n) = 4*F(n-3) + F(n-6). ,,,,," a(n) = (1-(-1)^n)/2 + floor((2^n)/3),",,,,,,
,,"F(n) = 4*F(n-2) - 2*F(n-3) - F(n-6). - Gary Detlefs, Apr 01 2012",,,,," a(2*n-1) = a(n)^2 + 2*a(n-1)^2; a(2*n) = a(n+1)^2 - 4*a(n-1)^2,",,,,,,
,,"F(n + 8) = 7F(n + 4) - F(n), ",,,,," a(m+n) = a(m)*a(n+1) + 2*a(m-1)*a(n), e.g. m=1,",,,,,,
,,F(n + 12) = 18F(n + 6) - F(n),,,,," a(m)*a(n+1) - a(m+1)*a(n) = (-2)^n*a(m-n), e.g. n=0,",,,,,,
,,F(n+10) = 11*F(n+5) + F(n).,,,,," a(m)*a(n) + a(m-1)*a(n-1) - 2*a(m-2)*a(n-2) = 2^(m+n-3),",,,,,,
,,    i.e.  F(2n+4) = (F(2n+1) + 2*(-1)^n)/F(n-1) + sqrt(F(2n+1) + F(2n+2) + F(2n+3) + 2*(-1)^n),,,,," a(m+n-1) = a(m)*a(n) + 2*a(m-1)*a(n-1); a(m+n) = a(m+1)*a(n+1) - 4*a(m-1)*a(n-1),",,,,,,
,,     i.e. a(2n+k) = ((-1)^k*a(n+k)^2 - a(n)^2)/a(n),,,,," a(2*n-1) = a(n)^2 + 2*a(n-1)^2; a(2*n) = a(n+1)^2 - 4*a(n-1)^2,",,,,,,
,,    e.g. a(2n+1) = ((-1)^1*a(n+1)^2 - a(n)^2)/a(n),,,,,,,,,,,
,,"    F(2*n) = F(n+2)^2 - F(n+1)^2 - 2*F(n)^2. - Richard R. Forberg, Jun 04 2011",,,,,,,,,,,
,,"    F(2*n) = F(n+1)^2 - F(n-1)^2,",,,,,,,,,,,
,,    i.e. F(2n+k+1) = F(n)*F(n+k) + F(n+1)*F(n+k+1),,,,,,,,,,,
,,    i.e. F(2n+1) = F(n)^2 + F(n+1)^2,,,,,,,,,,,
,,    i.e.  F(3n) = F(n)^3 + F(n+1)^3 - F(n-1)^3 ,,,,,,,,,,,
,,    (F(n+3)^ 2 - F(n+1)^ 2)/F(n+2) = (F(n+3)+ F(n+1)) .)),,,,,,,,,,,
,,    (-1)^(n+1) = F(n)^2 + F(n)*F(1+n) - F(1+n)^2. ,,,,,,,,,,,
,,    F(n) = -F(n+2)(-2 + (F(n+1))^4 + 2*(F(n+1)^3*F(n+2)) - (F(n+1)*F(n+2))^2 2*F(n+1)(F(n+2))^3 + (F(n+2))^4)- F(n+1). ,,,,,,,,,,,
,,    i.e. F(1+n) = 3*F(n) (mod p),,,,,,,,,,,
,,      or F(3+n) = [5/p]*F([5/p]+n) (mod p),,,,,,,,,,,
,,F(n+m+1) = F(n)*F(m) + F(n+1)*F(m+1) ,,,,,,,,,,,
,, e.g. for m=1  ..  F(n+1+1) = F(n)*F(1) + F(n+1)*F(1+1) ,,,,,,,,,,,
,, e.g. for m=4  ..  F(n+4+1) = F(n)*F(4) + F(n+1)*F(4+1) ,,,,,,,,,,,
,,"F(n) = F(k)*F(n-k+3) - F(k-1)*F(n-k+2) - F(k-2)*F(n-k) + (-1)^k*F(n-2k+2). - Charlie Marion, Dec 04 2014",,,,,,,,,,,
,,a(n) = 2^(n^2+n) - (4^n-2^n-1)*floor(2^(n^2+n)/(4^n-2^n-1)) - 2^n*floor(2^(n^2) - (2^n-1-1/2^n)*floor(2^(n^2+n)/(4^n-2^n-1))),,,,,,,,,,,
,,approx. F(n) = (F(k)+F(k-1))*F(n-k-2) + (2*F(k)+F(k-1))*F(n-k-1) ,,,,,,,,,,,
,,i.e. F(n+k) = (-(-1)^(n+k) * F(k)^2 + F(n)^2)/F(n-k),,,,,,,,,,,
