A000001,A000002,A000005,A000009,A000010,A000019,A000035,A000040,A000041,A000069,A000120,A000123,A000124,A000161,A000203,A000217,A000290,A000292,A000326,A000330,A000578,A000583,A000593,A000594,A000688,A000720,A000793,A000796,A000959,A000961,A001034,A001055,A001057,A001065,A001097,A001113,A001157,A001221,A001222,A001227,A001285,A001358,A001462,A001481,A001511,A001615,A001969,A002033,A002113,A002322,A002378,A002487,A002620,A002654,A002808,A003136,A003484,A004011,A004018,A004526,A005100,A005101,A005117,A005408,A005811,A005843,A006530,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027642,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
5,1,4,3658,32,2,0,233,204226,100,3,9828,1276,2,72,1275,2500,22100,3725,42925,125000,6250000,72,-1740295368,1,15,180180,0,267,157,647460,2,-25,21,571,5,2900,2,2,4,2,155,14,117,1,72,101,3,414,16,2550,7,625,0,72,147,1,744,12,25,65,220,82,101,4,100,17,126,63273,22827,15120,1310354,1,1,70,3,6,7,2048,66,5,13,9,5,21,6,8,11,1,163
1,1,6,4097,24,3,1,239,239943,103,4,10614,1327,0,98,1326,2601,23426,3876,45526,132651,6765201,14,850430336,2,15,180180,5,273,163,721392,4,26,46,599,9,3570,2,3,2,1,158,14,121,3,84,102,8,424,12,2652,12,650,2,74,148,4,1728,0,25,67,222,83,103,3,102,13,84,-9450,5880,60480,455192,0,0,72,2,7,6,2160,1,6,13,7,9,0,6,3,3,2,167
5,2,2,4582,52,8,0,241,281589,104,3,11514,1379,1,54,1378,2704,24804,4030,48230,140608,7311616,54,-1596055698,1,16,180180,8,283,167,885720,1,-26,1,601,5,2810,1,1,2,2,159,14,122,1,54,105,1,434,52,2756,5,676,2,75,151,1,336,8,26,68,224,85,105,4,104,53,36,870,750,181440,47840,-1,1,74,53,8,5,2304,1590,7,13,9,7,-8,6,8,11,1,169
1,2,8,5120,18,4,1,251,329931,107,4,12414,1432,1,120,1431,2809,26235,4187,51039,148877,7890481,40,1758697920,3,16,360360,2,285,169,976500,7,27,66,617,7,4100,2,4,4,1,161,14,125,2,108,106,20,444,18,2862,13,702,0,76,156,2,1296,8,26,69,228,86,107,5,106,3,9,-45,45,362880,1013,0,0,75,2,9,4,2310,1,8,13,8,9,0,6,1,1,2,173
15,1,4,5718,40,8,0,257,386155,109,4,13428,1486,0,72,1485,2916,27720,4347,53955,157464,8503056,72,2582175960,1,16,360360,0,289,173,979200,2,-27,17,619,4,3172,2,2,4,1,166,14,128,1,72,108,3,454,20,2970,8,729,0,77,157,1,960,0,27,71,234,87,109,4,108,11,1,1,1,362880,1,1,0,76,5,10,3,2520,798,9,13,9,8,1,6,20,45,2,179
2,2,8,6378,24,9,1,263,451276,110,5,14442,1541,0,120,1540,3025,29260,4510,56980,166375,9150625,8,-1414533120,3,16,360360,9,297,179,1024128,7,28,64,641,9,4250,2,4,2,2,169,14,130,4,96,111,20,464,6,3080,11,756,0,78,163,8,1728,0,27,73,240,89,111,3,110,7,1,3628800,1,1,1,0,1,77,2,11,2,2592,1,10,13,1,10,-1,6,3,3,3,181
13,2,4,7108,36,5,0,269,526823,112,3,15596,1597,0,80,1596,3136,30856,4676,60116,175616,9834496,80,2686677840,1,16,360360,7,303,181,1123980,2,-28,23,643,6,3620,2,2,4,2,177,15,136,1,80,113,3,474,18,3192,3,784,0,80,169,1,192,0,28,74,246,91,113,2,112,19,10,-10628640,1023,10,2036,1,1,78,3,12,1,2880,870,11,13,10,1,0,6,20,45,1,191
2,1,4,7917,28,2,1,271,614154,115,4,16750,1654,0,90,1653,3249,32509,4845,63365,185193,10556001,30,-3081759120,1,16,471240,4,307,191,1285608,2,29,32,659,6,4210,2,2,2,1,178,15,137,2,90,114,3,484,28,3306,10,812,2,81,171,2,1920,0,28,75,252,93,115,3,114,29,45,12753576,28501,90,152637,1,0,80,2,1,13,3072,1,12,13,3,10,15,6,3,3,2,193
2,1,2,8808,58,6,0,277,715220,117,4,18044,1712,1,60,1711,3364,34220,5017,66729,195112,11316496,60,-5189203740,1,17,510510,9,319,193,1342740,1,-29,1,661,9,3482,1,1,2,1,183,15,144,1,60,116,1,494,58,3422,7,841,0,82,172,1,720,8,29,76,258,94,117,4,116,59,120,-8409500,145750,720,2203488,-1,0,81,59,3,11,3360,354,1,14,10,3,0,6,3,3,1,197
1,2,12,9792,16,9,1,281,831820,118,5,19338,1771,0,168,1770,3481,35990,5192,70210,205379,12117361,24,-1791659520,2,17,556920,4,321,197,1451520,11,30,108,809,6,5460,3,4,4,2,185,15,145,3,144,119,44,505,4,3540,11,870,0,84,175,4,1440,0,29,77,260,95,119,3,118,5,210,3416930,246730,5040,9738114,0,1,82,2,5,9,3456,1,3,14,7,10,-35,6,1,1,4,199
13,1,2,10880,60,14,0,283,966467,121,4,20798,1831,0,62,1830,3600,37820,5370,73810,216000,12960000,62,6956478662,1,18,1021020,4,327,199,1653900,1,-30,1,811,7,3722,1,1,2,1,187,15,146,1,62,120,1,515,60,3660,4,900,2,85,181,1,576,0,30,79,264,97,121,2,120,61,252,-902055,179487,30240,15724248,-1,0,84,61,9,5,3600,56786730,5,14,10,7,0,6,44,113,1,211
