A000001,A000002,A000005,A000009,A000010,A000019,A000035,A000040,A000041,A000069,A000120,A000123,A000124,A000161,A000203,A000217,A000290,A000292,A000326,A000330,A000578,A000583,A000593,A000594,A000688,A000720,A000793,A000796,A000959,A000961,A001034,A001055,A001057,A001065,A001097,A001113,A001157,A001221,A001222,A001227,A001285,A001358,A001462,A001481,A001511,A001615,A001969,A002033,A002113,A002322,A002378,A002487,A002620,A002654,A002808,A003136,A003484,A004011,A004018,A004526,A005100,A005101,A005117,A005408,A005811,A005843,A006530,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027642,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
12,2,2,159046,88,10,0,461,44108109,176,3,112748,3917,0,90,3916,7744,117480,11572,231044,681472,59969536,90,-24992917110,1,24,58198140,8,529,349,6998640,1,-44,1,1303,1,7922,1,1,2,2,287,19,229,1,90,177,1,797,88,7832,5,1936,2,120,279,1,288,0,44,118,372,143,177,4,176,89,66,2717,2431,239500800,1479726,-1,1,119,89,10,7,12600,61410,9,17,12,7,-11,7,20,45,1,353
1,2,12,173682,24,4,1,463,49995925,179,4,118686,4006,1,234,4005,7921,121485,11837,238965,704969,62742241,78,13173496560,2,24,116396280,2,535,353,7174332,11,45,144,1319,7,11830,3,4,6,1,289,19,232,2,216,178,44,808,12,8010,17,1980,2,121,283,2,2160,8,44,119,378,145,179,5,178,5,12,-78,78,479001600,8178,0,0,120,2,11,6,12960,1,10,17,11,12,0,7,1,1,4,359
10,1,4,189586,72,10,0,467,56634173,181,4,125148,4096,1,112,4095,8100,125580,12105,247065,729000,65610000,112,9673645072,1,24,116396280,5,537,359,7906500,2,-45,21,1321,8,8500,2,2,4,1,291,20,233,1,112,180,3,818,12,8190,12,2025,0,122,289,1,1872,8,45,121,380,146,181,6,180,13,1,1,1,479001600,1,1,0,121,7,12,5,13440,272118,11,17,12,11,1,7,44,113,2,361
1,2,6,206848,44,2,1,479,64112359,182,5,131610,4187,0,168,4186,8281,129766,12376,255346,753571,68574961,24,-27442896384,2,24,116396280,3,541,361,8487168,4,46,76,1427,5,11130,2,3,2,2,295,20,234,3,144,183,8,828,22,8372,19,2070,0,123,291,4,2688,0,45,122,384,149,183,5,182,23,1,-6227020800,1,1,1,0,1,122,2,13,4,13824,1,12,17,1,13,0,7,3,3,2,367
4,2,4,225585,60,2,0,487,72533807,185,4,138670,4279,0,128,4278,8464,134044,12650,263810,778688,71639296,128,-13316478336,1,24,116396280,4,553,367,9095592,2,-46,35,1429,2,9620,2,2,4,1,298,20,241,1,128,184,3,838,30,8556,7,2116,0,124,292,1,576,0,46,123,390,151,185,4,184,31,13,19802759040,8191,13,16369,1,0,123,3,14,3,13860,1410,13,17,13,1,7,7,8,11,1,373
2,1,4,245920,46,2,1,491,82010177,186,5,145730,4372,0,144,4371,8649,138415,12927,272459,804357,74805201,48,-64496363904,1,24,140900760,2,559,373,9732420,2,47,50,1451,5,11050,2,2,2,2,299,20,242,2,144,187,3,848,46,8742,16,2162,0,125,300,2,3072,0,46,124,392,154,187,5,186,47,78,-26596717056,788970,156,4537314,1,1,124,2,15,2,14400,1,14,17,2,13,0,7,3,3,2,379
2,1,4,267968,72,2,0,499,92669720,188,5,153388,4466,0,120,4465,8836,142880,13207,281295,830584,78074896,120,51494658600,1,24,140900760,1,577,379,9951120,2,-47,25,1453,1,9412,2,2,4,2,301,20,244,1,120,189,3,858,36,8930,9,2209,0,126,301,1,1152,0,47,125,396,155,189,4,188,19,286,20313753096,10391745,1716,198410786,1,1,125,5,16,1,15120,6,15,17,13,2,-56,7,3,3,1,383
1,2,12,291874,32,2,1,503,104651419,191,6,161046,4561,0,252,4560,9025,147440,13490,290320,857375,81450625,4,-49569988608,7,24,157477320,1,579,383,9999360,19,48,156,1481,6,13650,2,6,2,1,302,20,245,6,192,190,112,868,8,9120,11,2256,0,128,304,10,2880,0,47,127,400,157,191,3,190,3,715,-9957703756,40075035,17160,2571742175,0,0,126,2,1,17,15360,1,16,17,3,13,0,7,3,3,4,389
231,1,2,317788,96,14,0,509,118114304,193,2,169396,4657,0,98,4656,9216,152096,13776,299536,884736,84934656,98,75013568546,1,25,157477320,7,583,389,10200960,1,-48,1,1483,6,9410,1,1,2,1,303,20,250,1,98,192,1,878,96,9312,2,2304,2,129,307,1,96,0,48,128,402,158,193,2,192,97,1287,3336118786,63436373,154440,12843262863,-1,0,128,97,5,13,15552,4501770,1,18,13,3,126,7,112,958,1,397
1,1,6,345856,42,4,1,521,133230930,194,3,177746,4754,1,171,4753,9409,156849,14065,308945,912673,88529281,57,40727164968,2,25,232792560,0,591,397,10626828,4,49,73,1487,4,12255,2,3,3,2,305,20,256,2,168,195,8,888,42,9506,11,2352,1,130,309,2,2352,8,48,129,408,159,195,3,194,7,1716,-790943153,49329280,1235520,27971176092,0,1,129,2,7,11,16384,1,5,18,4,13,0,7,1,1,2,401
5,2,6,376256,60,2,0,523,150198136,196,3,186788,4852,1,156,4851,9604,161700,14357,318549,941192,92236816,156,-60754911516,2,25,232792560,6,601,401,11093880,4,-49,57,1489,2,11102,2,3,6,2,309,21,257,1,144,197,8,898,30,9702,9,2401,0,132,313,1,1368,4,49,130,414,161,197,4,196,11,1716,135036473,20912320,8648640,27971176092,0,1,130,3,11,7,17280,6,7,18,13,4,-120,7,8,11,2,409
2,2,9,409174,40,38,1,541,169229875,199,4,195830,4951,0,217,4950,9801,166650,14652,328350,970299,96059601,31,37534859200,4,25,232792560,7,613,409,11332452,9,50,117,1607,7,13671,2,4,3,1,314,21,260,3,180,198,26,909,20,9900,16,2450,3,133,316,4,3744,0,49,131,416,163,199,3,198,5,1287,-16669653,5135130,51891840,12843262863,0,0,132,2,13,5,18432,1,11,18,5,13,0,7,8,11,3,419
